Year,Subsector,Simulation_Values,Edgar_Values,diff
2015,agrc,6.913502886535574,1.13413896,5.0958164125986585
2015,entc,7.215628961563246,3.312946055,1.1780097960463911
2015,fgtv,0.8268930059550424,2.441121387,-0.6612651012118463
2015,frst,-0.3298283794722838,-6.547103826,-0.9496222469907286
2015,inen,4.805782696701489,2.1573401229999996,1.2276425703419276
2015,ippu,6.6585424774554145,3.8832173619999995,0.7146973390194209
2015,lndu,0.9343142865279103,0.060839526,14.35702770807107
2015,lsmm,0.2711401930752112,1.793108218,-0.8487876022465414
2015,lvst,1.3794516227424176,1.682915592,-0.18032037417690194
2015,scoe,7.471450006408655,3.24769707,1.3005378412367306
2015,soil,1.6665348856454956,0.092259474,17.063563701279023
2015,trns,3.566876581071549,5.9581787,-0.4013478345200441
2015,trww,0.8023545756308255,0.503173252,0.5945890852537319
2015,waso,1.3359913997276567,1.2586895035999999,0.06141458708169434
