subsector,gas,edgar_class,ssp_emission,iso_alpha_3,edgar_emission,year,edgar_emission_epsilon,direct_weight,norm_weight,log_weight,diff,squared_diff
lvst,ch4,AG - Livestock:CH4,1.6526977464092678,HRV,0.841457796,2015,0.8414587960000001,0.8414587960000001,0.02533744414840326,0.6105575383672084,0.9640863631892769,0.6581086346611303
lsmm,ch4,AG - Livestock:CH4,0.054763286424118894,HRV,0.841457796,2015,0.8414587960000001,0.8414587960000001,0.02533744414840326,0.6105575383672084,-0.9349186357259033,0.6188898247868554
lsmm,n2o,AG - Livestock:N2O,0.13725939268667336,HRV,0.110192626,2015,0.110193626,0.110193626,0.0033180505547789696,0.10453353720538718,0.24562007503658478,0.0007325557263374375
agrc,co2,AG - Crops:CO2,0.719523689793027,HRV,0.09585713,2015,0.09585813,0.09585813,0.0028863891797625348,0.09153682418934682,6.506131089695022,0.38895873047194984
agrc,ch4,AG - Crops:CH4,0.21271608925537502,HRV,0.000226641,2015,0.000227641,0.000227641,6.824470230754464e-06,0.0002266153208084854,933.436631605796,0.04515134064197719
agrc,n2o,AG - Crops:N2O,0.2393698621802726,HRV,1.038055189,2015,1.038056189,1.038056189,0.0312572603157006,0.71199601441425,-0.769405678886355,0.6378998486487885
scoe,co2,EN - Building:CO2,8.014559367684898,HRV,2.726867007,2015,2.726868007,2.726868007,0.08210969203497172,1.3155679362006645,1.9391079242233733,27.959679925861703
scoe,ch4,EN - Building:CH4,0.02339588254952701,HRV,0.416708461,2015,0.41670946099999995,0.41670946099999995,0.012547661221923693,0.34833619571539676,-0.9438556482653822,0.15469557099351633
scoe,n2o,EN - Building:N2O,0.04122681158478716,HRV,0.104121602,2015,0.104122602,0.104122602,0.00313524372566069,0.09905008852832732,-0.6040551158644004,0.0039558804519543795
entc,co2,EN - Electricity/Heat:CO2,,HRV,3.297328035,2015,3.297329035,3.297329035,0.09928705316288587,1.457993442349168,,
entc,ch4,EN - Electricity/Heat:CH4,,HRV,0.004395555,2015,0.004396555,0.004396555,0.0001323561678828806,0.0043859227638221076,,
entc,n2o,EN - Electricity/Heat:N2O,,HRV,0.011222465,2015,0.011223464999999998,0.011223464999999998,0.0003379237574321676,0.011159960342477652,,
fgtv,co2,EN - Fugitive Emissions:CO2,,HRV,1.392714613,2015,1.392715613,1.392715613,0.04193654023921191,0.872428542725296,,
fgtv,ch4,EN - Fugitive Emissions:CH4,,HRV,1.046726716,2015,1.046727716,1.046727716,0.03151837184391784,0.7162417931256768,,
fgtv,n2o,EN - Fugitive Emissions:N2O,,HRV,0.001680058,2015,0.0016810579999999998,0.0016810579999999998,5.058884229658748e-05,0.0016786482812769755,,
inen,co2,EN - Manufacturing/Construction:CO2,4.048525393328902,HRV,2.148484414,2015,2.148485414,2.148485414,0.06469380175953579,1.146921198640617,0.884362522057551,3.6101519230481727
inen,ch4,EN - Manufacturing/Construction:CH4,0.010198935504635673,HRV,0.003652548,2015,0.003653548,0.003653548,0.00010998321174192558,0.003645893645198322,1.7915153994516217,4.28420975858408e-05
inen,n2o,EN - Manufacturing/Construction:N2O,0.01708597317276215,HRV,0.005203161,2015,0.0052041610000000006,0.0052041610000000006,0.00015667428819288051,0.00518967133018701,2.2831369307679275,0.00014117746050879877
trns,co2,EN - Transportation:CO2,3.594607694906602,HRV,5.885325138,2015,5.885326138,5.885326138,0.1772151826129955,1.9293923551759797,-0.3892254038910151,5.2473909855282415
trns,ch4,EN - Transportation:CH4,0.01251650096801202,HRV,0.013863209,2015,0.013864208999999999,0.013864208999999999,0.0004174401680332657,0.013767993701984726,-0.097207711740928,1.8163169394849128e-06
trns,n2o,EN - Transportation:N2O,0.06362646113454014,HRV,0.058990353,2015,0.058991353,0.058991353,0.0017762801432670934,0.057315957040477976,0.07857267038001543,2.1484227418880128e-05
ippu,co2,IN - Industrial Processes:CO2,9.463282150236392,HRV,2.415890528,2015,2.415891528,2.415891528,0.07274576528120545,1.2284382285744049,2.917097287091605,49.66571458238544
ippu,ch4,IN - Industrial Processes:CH4,0.0366702493330318,HRV,0.001673081,2015,0.001674081,0.001674081,5.0378755292029736e-05,0.0016716829591236636,20.904704332127178,0.0012247317979938977
ippu,n2o,IN - Industrial Processes:N2O,3.278513143050992,HRV,0.946128602,2015,0.9461296020000001,0.9461296020000001,0.028489225157029573,0.6658420668834618,2.4651839833788354,5.440012982565565
ippu,c2f6,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c2h3f3,IN - Industrial Processes:HFC,0.27484375781997156,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,13.432370662890165,0.06543373974572807
ippu,c2hf5,IN - Industrial Processes:HFC,0.2499478128906096,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,12.125055160899368,0.05331677268596116
ippu,c3f8,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c3h2f6,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c3h3f5,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c3hf7,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c4f10,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c4f6,IN - Industrial Processes:HFC,1.7672325031891302e-09,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-0.9999999072005319,0.0003626572187836284
