subsector,edgar_class,ssp_emission,iso_alpha_3,edgar_emission,year,edgar_emission_epsilon,rel_error,squared_diff,direct_weight,norm_weight,log_weight
inen,EN - Manufacturing/Construction,2.808344980534737,HRV,2.1573401229999996,2015,2.1573411229999997,0.30176213237406374,0.4238060225251084,2.1573411229999997,0.07857449977099655,1.14972993991464
scoe,EN - Building,4.064500526701931,HRV,3.24769707,2015,3.24769807,0.25150196819309945,0.6671662532743091,3.24769807,0.11828740862990071,1.4463769701915998
trns,EN - Transportation,6.009058997501411,HRV,5.9581787,2015,5.9581797000000005,0.008539402982661011,0.0025887029142370155,5.9581797000000005,0.2170083919116479,1.9399177590673895
agrc,AG - Crops:CH4,0.2900940628257952,HRV,0.000226641,2015,0.000227641,1273.3489214411957,0.08402254250208983,0.000227641,8.254703564236465e-06,0.0002266153208084854
agrc,AG - Crops:CO2,0.065571739641181,HRV,0.09585713,2015,0.09585813,-0.3159501479824299,0.0009172654409667644,0.09585813,0.003491302070977794,0.09153682418934682
agrc,AG - Crops:N2O,0.377461568314709,HRV,1.038055189,2015,1.038056189,-0.6363765542611596,0.43638525287834345,1.038056189,0.03780797767620359,0.71199601441425
frst,LULUCF - Forest Land:CO2,-1.6503030862059513,HRV,-6.547103826,2015,-6.547102826,-0.7479338372917816,23.978647691647055,6.547104826,0.23845818403514102,2.0211638904626392
ippu,IN - Industrial Processes:CH4,0.0328002833009806,HRV,0.001673081,2015,0.001674081,18.593008522873504,0.00096884046968157,0.001674081,6.093684591030003e-05,0.0016716829591236636
ippu,IN - Industrial Processes:CO2,3.6694554033576794,HRV,2.415890528,2015,2.415891528,0.5188825163832768,1.5714223896017636,2.415891528,0.08799140558101454,1.2284382285744049
ippu,IN - Industrial Processes:HFC,0.306469619091603,HRV,0.514149197,2015,0.514150197,-0.40392978378727923,0.043131222440365755,0.514150197,0.018726308165888855,0.41485369507416076
ippu,IN - Industrial Processes:N2O,1.276535679455885,HRV,0.946128602,2015,0.9461296020000001,0.3492186237038221,0.10916817601978429,0.9461296020000001,0.03445983358331222,0.6658420668834618
ippu,IN - Industrial Processes:PFC,1.2337846714293806e-05,HRV,0.0,2015,1e-06,11.337846714293805,1.2854676811682283e-10,1e-06,0.0,0.0
ippu,IN - Industrial Processes:SF6,0.0,HRV,0.005375954,2015,0.005376954,-1.0,2.8911634318116e-05,0.005376954,0.00019580264226230594,0.005361555141310121
lndu,LULUCF - Deforestation:CO2,0.1409196343724502,HRV,0.060839526,2015,0.060840526,1.3162132814639076,0.006412663597726622,0.060840526,0.002215893206077705,0.059060600313373124
lndu,LULUCF - Other Land:CO2,0.014875067061371424,HRV,0.820236897,2015,0.820237897,-0.9818649356293137,0.6486092878467564,0.820237897,0.029874614201244074,0.5989666558050246
lsmm,AG - Livestock:N2O,0.16118389406717953,HRV,0.110192626,2015,0.110193626,0.4627333714127851,0.0026000074375628285,0.110193626,0.00401342856144641,0.10453353720538718
lvst-lsmm,AG - Livestock:CH4,1.6581626959208273,HRV,1.682915592,2015,1.682916592,-0.014708926275279522,0.0006127553710984798,1.682916592,0.06129504077193236,0.9869041106429733
soil,LULUCF - Organic Soil:CO2,1.3416904547075783,HRV,0.092259474,2015,0.092260474,13.542418833742156,1.5610752766909397,0.092260474,0.0033602684812650027,0.08824846265019766
trww,Waste - Wastewater Treatment:CH4,0.26888914194922964,HRV,0.441746003,2015,0.44174700299999997,-0.39130511328170875,0.029879840127047422,0.44174700299999997,0.016089243806069124,0.3658548811842429
trww,Waste - Wastewater Treatment:N2O,0.0991235518424924,HRV,0.061427249,2015,0.061428249000000004,0.6136476858145898,0.0014209358563872152,0.061428249000000004,0.0022372992144472576,0.059614463778558245
waso,Waste - Solid Waste:CH4,0.8296212017980145,HRV,1.255624377,2015,1.2556253769999999,-0.3392764936145325,0.1814795572895239,1.2556253769999999,0.045732268301693385,0.813426820216485
waso,Waste - Solid Waste:CO2,0.423819441045578,HRV,3.08606e-05,2015,3.18606e-05,13301.305701888165,0.17959591333991726,3.18606e-05,1.1240027391975673e-06,3.0860123821385104e-05
waso,Waste - Solid Waste:N2O,0.00037261674655159505,HRV,0.003034266,2015,0.003035266,-0.8772375315535459,7.089701046889349e-06,0.003035266,0.00011051383626546618,0.003029671905710673
